,State/UT,District,Households,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
0,Jammu and Kashmir,Kupwara,330018088.96,191740509.68576,163358954.0352,27391501.38368,15840868.270079998,161378845.50144,231672698.44992
1,Jammu and Kashmir,Badgam,352834899.21,163362558.33422998,119258195.93297999,13760561.06919,9173707.37946,293911471.04192996,318962748.88584
2,Laddakh,Leh,29587072.36,15237342.2654,16154541.50856,621328.51956,325457.79596,26066210.74916,28344415.32088
3,Laddakh,Kargil,23178447.36,16989801.91488,15946771.783679998,811245.6575999999,278141.36832,22436737.04448,22598986.176
4,Jammu and Kashmir,Punch,217291184.64,129288254.8608,59320493.40672,5214988.431359999,1738329.4771200002,29768892.295679998,163620262.03392
5,Jammu and Kashmir,Rajouri,456155620.84,241306323.42435998,84844945.47624001,12316201.762680002,7754645.55428,46527873.325679995,390013055.8182
6,Jammu and Kashmir,Kathua,461592334.09,169404386.61103,124629930.20429999,16155731.693149999,14309362.356789999,65546111.44077999,309728456.17438996
7,Jammu and Kashmir,Baramula,673272756.25,310378740.63125,228912737.125,35683456.08125,33663637.8125,500241657.89375,622777299.53125
8,Jammu and Kashmir,Bandipore,96189017.76,51653502.53712001,29818595.505599998,7117987.31424,4136127.7636800003,67428501.44976,90706243.74768
9,Jammu and Kashmir,Srinagar,687692931.21,264074085.58464,159544760.04072002,43324654.66623,15129244.486620001,609983629.98327,674626765.51701
10,Jammu and Kashmir,Ganderbal,59824037.16,28356593.61384,13161288.1752,5683283.5302,2692081.6722,41577705.8262,54619345.92707999
11,Jammu and Kashmir,Pulwama,286364237.29,123136622.0347,121418436.61096,13172754.915339999,8590927.118700001,179550376.78083003,260877820.17119
12,Jammu and Kashmir,Shupiyan,65428685.44,21722323.566080004,22507467.79136,3860292.4409600003,2159146.6195199997,38602924.4096,62026393.79712
13,Jammu and Kashmir,Anantnag,771356192.89,333997231.52137,219836514.97364998,39339165.83739,23912041.979590002,391848945.98811996,582373925.63195
14,Jammu and Kashmir,Kulgam,146724769.0,71895136.81,61624402.98,6896064.143000001,6162440.298,61184228.673,85833989.865
15,Jammu and Kashmir,Doda,178535026.89,107121016.134,42312801.37293,2856560.4302399997,5177515.779809999,42848406.4536,166751715.11526
16,Jammu and Kashmir,Ramban,80321028.84,41365329.8526,15501958.566120002,1686741.6056400002,1927704.6921599999,14297143.133520002,66425490.85068001
17,Jammu and Kashmir,Kishtwar,61420136.41,31938470.933199998,8291718.415349999,2088284.6379399998,429940.95486999996,12284027.281999998,57366407.406940006
18,Jammu and Kashmir,Udhampur,336208896.0,150285376.512,57155512.32,6724177.92,6051760.1280000005,24879458.304,252492880.896
19,Jammu and Kashmir,Reasi,116279558.89,63837477.83061,45930425.761549994,1744193.38335,1279075.14779,10465160.3001,91628292.40531999
20,Jammu and Kashmir,Jammu,2526158068.81,970044698.42304,570911723.5510601,123781745.37169,85889374.33953999,621434884.92726,2144708200.4196901
21,Jammu and Kashmir,Samba,130498636.96,39802084.2728,23228757.37888,4306455.019679999,1435485.0065600001,33929645.6096,92262536.33072
22,Himachal Pradesh,Chamba,400924533.61,152351322.7718,74571963.25146002,9221264.27303,2806471.73527,195651172.40168,348804344.2407
23,Himachal Pradesh,Kangra,3935404195.84,995657261.5475202,747726797.2096001,55095658.74175999,62966467.13344001,2534400302.12096,3238837653.17632
24,Himachal Pradesh,Lahul and Spiti,3039443.56,1024292.4797200002,,24315.54848,,2373805.42036,
25,Himachal Pradesh,Kullu,356091996.16,97925298.94400002,54838167.408640005,4273103.95392,4629195.950080001,193001861.91872,322619348.52096003
26,Himachal Pradesh,Mandi,2142069806.25,599779545.75,370578076.48125,34273116.9,14994488.64375,1756497241.125,1970704221.75
27,Himachal Pradesh,Hamirpur,446679771.04,96482830.54464,76828920.61888,4466797.7104,2680078.62624,397991675.99664,412285428.66992
28,Himachal Pradesh,Una,421140170.89,106548463.23517,102758201.69715999,5895962.39246,20214728.202719998,247630420.48331997,314170567.48393995
29,Himachal Pradesh,Bilaspur,270421580.25,72743405.08725,45701247.062249996,3515480.54325,2163372.642,186050047.212,252844177.53375
